feature_id,domain,register_expr,source_file
tool_001,core_tool,bash::BashTool,crates/core/src/tools/mod.rs
tool_002,core_tool,read::ReadTool,crates/core/src/tools/mod.rs
tool_003,core_tool,write::WriteTool,crates/core/src/tools/mod.rs
tool_004,core_tool,edit::EditTool,crates/core/src/tools/mod.rs
tool_005,core_tool,glob::GlobTool,crates/core/src/tools/mod.rs
tool_006,core_tool,grep::GrepTool,crates/core/src/tools/mod.rs
tool_007,core_tool,git::GitStatusTool,crates/core/src/tools/mod.rs
tool_008,core_tool,git::GitDiffTool,crates/core/src/tools/mod.rs
tool_009,core_tool,git::GitLogTool,crates/core/src/tools/mod.rs
tool_010,core_tool,git::GitShowTool,crates/core/src/tools/mod.rs
tool_011,core_tool,git::GitBranchTool,crates/core/src/tools/mod.rs
tool_012,core_tool,git::GitCommitTool,crates/core/src/tools/mod.rs
tool_013,core_tool,git::GitCheckoutTool,crates/core/src/tools/mod.rs
tool_014,core_tool,todo::TodoReadTool::with_store(todo_store.clone()),crates/core/src/tools/mod.rs
tool_015,core_tool,filesystem::ListDirTool,crates/core/src/tools/mod.rs
tool_016,core_tool,filesystem::DirectoryTreeTool,crates/core/src/tools/mod.rs
tool_017,core_tool,filesystem::FileInfoTool,crates/core/src/tools/mod.rs
tool_018,core_tool,filesystem::DeleteFileTool,crates/core/src/tools/mod.rs
tool_019,core_tool,filesystem::MoveFileTool,crates/core/src/tools/mod.rs
tool_020,core_tool,filesystem::CopyFileTool,crates/core/src/tools/mod.rs
tool_021,core_tool,filesystem::CreateDirTool,crates/core/src/tools/mod.rs
tool_022,core_tool,verify::VerifyTool,crates/core/src/tools/mod.rs
tool_023,core_tool,notepad::NotepadWriteTool,crates/core/src/tools/mod.rs
tool_024,core_tool,notepad::NotepadReadTool,crates/core/src/tools/mod.rs
tool_025,core_tool,lsp::LspDiagnosticsTool,crates/core/src/tools/mod.rs
tool_026,core_tool,lsp::AstSearchTool,crates/core/src/tools/mod.rs
tool_027,core_tool,lsp::LspGotoDefinitionTool,crates/core/src/tools/mod.rs
tool_028,core_tool,lsp::LspFindReferencesTool,crates/core/src/tools/mod.rs
tool_029,core_tool,lsp::LspHoverTool,crates/core/src/tools/mod.rs
tool_030,core_tool,web::WebFetchTool,crates/core/src/tools/mod.rs
tool_031,core_tool,web::WebSearchTool,crates/core/src/tools/mod.rs
tool_032,core_tool,tail_file::TailFileTool,crates/core/src/tools/mod.rs
tool_033,core_tool,load_skill::LoadSkillTool,crates/core/src/tools/mod.rs
tool_034,core_tool,memory::MemoryReadTool,crates/core/src/tools/mod.rs
tool_035,core_tool,memory::MemoryWriteTool,crates/core/src/tools/mod.rs
tool_036,core_tool,team::TeamCreateTool,crates/core/src/tools/mod.rs
tool_037,core_tool,team::TeamDeleteTool,crates/core/src/tools/mod.rs
tool_038,core_tool,team::SendMessageTool,crates/core/src/tools/mod.rs
tool_039,core_tool,team::TaskCreateTool,crates/core/src/tools/mod.rs
tool_040,core_tool,team::TaskUpdateTool,crates/core/src/tools/mod.rs
tool_041,core_tool,team::TaskListTool,crates/core/src/tools/mod.rs
tool_042,core_tool,team::TeamListTool,crates/core/src/tools/mod.rs
tool_043,core_tool,team::ReadInboxTool,crates/core/src/tools/mod.rs
tool_044,core_tool,batch::BatchApplyTool,crates/core/src/tools/mod.rs
tool_045,core_tool,semantic_search::SemanticSearchTool::new(idx),crates/core/src/tools/mod.rs
tool_046,core_tool,fuzzy_find::FuzzyFindTool,crates/core/src/tools/mod.rs
tool_047,core_tool,update_plan::UpdatePlanTool,crates/core/src/tools/mod.rs
tool_048,core_tool,think::ThinkTool,crates/core/src/tools/mod.rs
tool_049,core_tool,ask_user::AskUserTool,crates/core/src/tools/mod.rs
tool_050,core_tool,apply_patch::ApplyPatchTool,crates/core/src/tools/mod.rs
tool_051,core_tool,apply_patch::MultiEditTool,crates/core/src/tools/mod.rs
tool_052,core_tool,browser::BrowserOpenTool,crates/core/src/tools/mod.rs
tool_053,core_tool,browser::BrowserScreenshotTool,crates/core/src/tools/mod.rs
tool_054,core_tool,browser::BrowserEvaluateTool,crates/core/src/tools/mod.rs
tool_055,core_tool,pr::CreatePrTool,crates/core/src/tools/mod.rs
tool_056,core_tool,pr::ReviewPrTool,crates/core/src/tools/mod.rs
